_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
68cc02d5dcd5c426fe4adf6b,,103.19,100,103.19,82.09,129;0;0;0,time,15,-1,6,15,0,16.4,false,false,english,,normal,false,false,false,,1758200533000
68cac0f6dcd5c426fe3e8696,,100.79,94.48,115.99,86.56,126;4;1;0,time,15,-1,3,15,0,7.43,false,false,english,,normal,false,false,false,,1758118134000
68c784c5dcd5c426fe1e7623,,100.39,96.98,104.79,83.19,251;2;1;0,time,30,-1,2,30,0,20.1,false,false,english,,normal,false,false,false,,1757906117000
68c7848adcd5c426fe1e7490,,97.6,93.75,108.39,85.78,244;10;1;0,time,30,-1,56,30,0,196.67,false,false,english,,normal,false,false,false,,1757906058000
68c6ed2cdcd5c426fe1a818a,,106.39,93.14,120.39,83.71,266;8;1;8,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1757867308000
68c49258dcd5c426fe0a0113,,101.2,94.74,113.2,83.3,253;7;2;2,time,30,-1,1,30,0,0.81,false,false,english,,normal,false,false,false,,1757712984000
68c43627dcd5c426fe0578eb,,101.58,96.38,109.58,84.53,127;1;2;1,time,15,-1,8,15,0,52.21,false,false,english,,normal,false,false,false,,1757689383000
68bf06d8dcd5c426fed39a8c,,103.99,93.88,117.59,91.5,130;6;0;0,time,15,-1,8,15,0,14.38,false,false,english,,normal,false,false,false,,1757349592000
68bbb0bddcd5c426feb9a8f1,,98.38,94.89,109.58,85.11,123;4;1;1,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1757130941000
68bb2fc3dcd5c426feb667c9,,97.59,91.84,116.79,85.47,122;7;0;0,time,15,-1,23,15,0,84.08,false,false,english,,normal,false,false,false,,1757097923000
68bafaa8dcd5c426feb37c1d,,101.58,92.25,112.78,77.89,127;7;2;0,time,15,-1,2,15,0,5.03,false,false,english,,normal,false,false,false,,1757084328000
68b6776ceff67c4fdc732566,,113.6,100,113.6,84.64,142;0;0;0,time,15,-1,6,15,0,10.23,false,false,english,,normal,false,false,false,,1756788588000
68b6774ceff67c4fdc73245d,,105.58,95.1,114.38,87.97,132;4;1;1,time,15,-1,40,15,0,90.53,false,false,english,,normal,false,false,false,,1756788556000
68b4aca2eff67c4fdc661953,,106.4,95.14,114.4,88.72,133;3;1;0,time,15,-1,3,15,0,11.57,false,false,english,,normal,false,false,false,,1756671138000
68b4ac5beff67c4fdc661802,,103.99,94.93,108.79,83.07,130;3;1;0,time,15,-1,11,15,0,48.58,false,false,english,,normal,false,false,false,,1756671067000
68afb70feff67c4fdc3ee9c6,,106.39,96.62,118.39,88.38,133;3;0;0,time,15,-1,21,15,0,64.55,false,false,english,,normal,false,false,false,,1756346127000
68afb6a8eff67c4fdc3ee6f2,,95.99,97.56,95.99,79.02,120;0;0;0,time,15,-1,2,15,0,2.98,false,false,english,,normal,false,false,false,,1756346024000
68afb693eff67c4fdc3ee66a,,96.79,91.61,114.39,86.81,121;7;1;1,time,15,-1,2,15,0,13.19,false,false,english,,normal,false,false,false,,1756346003000
68afb66aeff67c4fdc3ee555,,110.59,96.15,119.81,63.12,48;1;0;1,words,10,-1,35,5.21,0,87,false,false,english,,normal,false,false,false,,1756345962000
68af5c52eff67c4fdc3c91dc,,108.79,95.97,118.39,76.91,136;3;0;1,time,15,-1,17,15,0,42.26,false,false,english,,normal,false,false,false,,1756322898000
68af4a0eeff67c4fdc3bb480,,103.18,94.59,117.58,86.22,129;3;1;1,time,15,-1,50,15,0,230.67,false,false,english,,normal,false,false,false,,1756318222000
68ad3453895ff374fceee990,,91.4,92.91,105.8,80.2,457;19;2;3,time,60,-1,11,60,0,53.58,false,false,english,,normal,false,false,false,,1756181587000
68ad334a895ff374fceee205,,94.8,95.37,103.2,78.96,237;5;1;2,time,30,-1,59,30,0,210.12,false,false,english,,normal,false,false,false,,1756181322000
68ad3214895ff374fceed9fc,,110.39,97.93,115.99,86.56,138;2;0;0,time,15,-1,5,15,0,10.59,false,false,english,,normal,false,false,false,,1756181012000
68ad31f0895ff374fceed906,,90.8,93.75,108,80.49,227;8;0;3,time,30,-1,6,30,0,9.14,false,false,english,,normal,false,false,false,,1756180976000
68ad31bd895ff374fceed76d,,80.79,86.55,115.19,85.29,202;20;2;5,time,30,-1,60,30,0,191.66,false,false,english,,normal,false,false,false,,1756180925000
68ad30a1895ff374fceecea4,,89.2,89.27,108,75.03,446;32;3;3,time,60,-1,75,60,0,265.92,false,false,english,,normal,false,false,false,,1756180641000
68ad2ef8895ff374fceec2b5,,93.19,93.03,107.58,73.16,466;15;4;4,time,60,-1,52,60.01,0,183.86,false,false,english,,normal,false,false,false,,1756180216000
68ad2dba895ff374fceeb9a0,,96.78,90.28,113.57,81.44,121;8;1;0,time,15,-1,50,15,0,174.29,false,false,english,,normal,false,false,false,,1756179898000
68acd07b895ff374fcec8503,,75.59,86.1,91.59,67.79,378;22;8;4,time,60,-1,45,60.01,0,177.79,false,false,english,,normal,false,false,false,,1756156027000
68a809b2895ff374fcc899a7,,107.98,95.3,119.18,82.97,135;4;0;1,time,15,-1,18,15,0,43.67,false,false,english,,normal,false,false,false,,1755842994000
68a80962895ff374fcc89754,,95.99,88.74,120.78,87.72,120;10;1;3,time,15,-1,34,15,0,83.86,false,false,english,,normal,false,false,false,,1755842914000
68a808df895ff374fcc893de,,103.2,94.37,112,77.55,129;4;1;0,time,15,-1,6,15,0,19.67,false,false,english,,normal,false,false,false,,1755842783000
68a808b5895ff374fcc892b2,,99.18,94.96,109.58,84.01,124;3;0;1,time,15,-1,11,15,0,33.58,false,false,english,,normal,false,false,false,,1755842741000
68a3a2259b82a8cb3395663f,,116.78,98.01,120.78,87.19,146;2;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1755554341000
68a3848a9b82a8cb3394a0b1,,104.79,95.83,115.19,89.38,131;4;0;1,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1755546762000
68a3847a9b82a8cb3394a02d,,97.59,93.01,114.39,85.74,122;5;1;1,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1755546746000
68a383bb9b82a8cb339499b3,,91.99,92.09,111.19,85.01,115;7;0;1,time,15,-1,8,15,0,25.54,false,false,english,,normal,false,false,false,,1755546555000
68a37a7a9b82a8cb33944619,,107.99,97.86,111.19,88.48,135;2;0;0,time,15,-1,13,15,0,36.08,false,false,english,,normal,false,false,false,,1755544186000
68a365cc9b82a8cb33937399,,88.77,89.55,103.97,73.36,111;6;1;2,time,15,-1,53,15,0,187.13,false,false,english,,normal,false,false,false,,1755538892000
68a2a8d39b82a8cb338cc2c0,,106.39,97.84,111.19,82.61,133;2;0;0,time,15,-1,60,15,0,145.62,false,false,english,,normal,false,false,false,,1755490515000
68a2a7ef9b82a8cb338cbcfb,,107.99,94.63,119.19,86.51,135;5;1;0,time,15,-1,36,15,0,86.86,false,false,english,,normal,false,false,false,,1755490287000
68a2a7689b82a8cb338cb9ef,,94.38,91.03,115.97,88.26,118;5;2;2,time,15,-1,20,15,0,63.24,false,false,english,,normal,false,false,false,,1755490152000
68a236bd9b82a8cb338a80f6,,95.6,94.22,110,81.73,239;8;1;1,time,30,-1,1,30,0,1.37,false,false,english,,normal,false,false,false,,1755461309000
68a14f3f9b82a8cb33846c7b,,91.6,93.75,101.6,79.65,458;18;2;1,time,60,-1,3,60,0,5.27,false,false,english,,normal,false,false,false,,1755402047000
68a14ee89b82a8cb33846afd,,86.99,93.93,99.59,76.18,435;10;3;1,time,60,-1,17,60.01,0,164.23,false,false,english,,normal,false,false,false,,1755401960000
68a14de59b82a8cb338465e6,,84.6,89.46,102.8,80.28,423;28;5;3,time,60,-1,21,60,0,153.6,false,false,english,,normal,false,false,false,,1755401701000
68a14cc09b82a8cb3384607a,,105.35,94.85,114.62,75.68,125;4;1;0,words,25,-1,7,14.24,0,22.36,false,false,english,,normal,false,false,false,,1755401408000
689d69824cec7cefb63c8670,,101.4,97.06,106.15,73.05,128;1;0;0,words,25,-1,6,15.15,0,25.21,false,false,english,,normal,false,false,false,,1755146626000
689c067c4cec7cefb6327e54,true,132.88,100,132.88,89.39,128;0;0;0,words,25,-1,1,11.56,0,1.86,false,false,english,,normal,false,false,false,,1755055740000
689c05ea4cec7cefb6327a78,,111.28,98.29,116.25,68.58,112;1;0;0,words,25,-1,26,12.08,0,88.05,false,false,english,,normal,false,false,false,,1755055594000
689bfe9d4cec7cefb6324e8f,,120.38,100,120.38,64.97,52;0;0;0,words,10,-1,5,5.18,0,9.32,false,false,english,,normal,false,false,false,,1755053725000
689bfe5a4cec7cefb6324cf5,,125.24,100,125.24,94.67,52;0;0;0,words,10,-1,14,4.98,0,36.7,false,false,english,,normal,false,false,false,,1755053658000
689bfdb44cec7cefb632493a,,107.6,100,107.6,82.9,59;0;0;0,words,10,-1,2,6.58,0,2.17,false,false,english,,normal,false,false,false,,1755053492000
689bfda84cec7cefb63248f6,,101.36,94.44,111.7,86.42,49;2;0;0,words,10,-1,7,5.8,0,11.86,false,false,english,,normal,false,false,false,,1755053480000
